Hash_ID,Phase,Vector_Focus,Search_Keyword,Media_Tier,Source_Domain,Published_Date,Title,Snippet,URL,Query_Used
cee26822d93ad99d767deb607f32304c,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,nytimes.com,2017-07-19,"Manafort Was in Debt to Pro-Russia Interests, Cyprus ...","Deripaska or the Party of Regions, nor was he at the time he began working for the Trump campaign,” Mr. Maloni said. “The broader point, which Mr. Manafort has ...",https://www.nytimes.com/2017/07/19/us/politics/paul-manafort-russia-trump.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
e708a314f55217d04ff5e265dd2d60bf,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,cnn.com,2017-04-14,Paul Manafort's two big issues: His finances and Ukraine,"... Deripaska. In 2005, according to an AP report in March, Manafort pitched Deripaska an international public-affairs campaign that would bolster Putin ...",https://www.cnn.com/2017/04/14/politics/manafort-finances-ukraine-connection,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
4db88c301ce4760811d049fd2ce86fc4,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,nytimes.com,2017-11-03,$1.5 Billion I.P.O. for Firm Controlled by Putin Ally Tied to ...,"During the presidential campaign last year, Mr. Manafort had asked, through an intermediary, whether Mr. Deripaska might resolve a financial dispute in exchange ...",https://www.nytimes.com/2017/11/03/business/dealbook/russia-ipo-putin-deripaska.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
4093e0405a3fc51fcbc17dd01496ae7c,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-09-20,Manafort offered to give Russian billionaire 'private ...,"Paul Manafort made the offer in an email to an overseas intermediary, asking that a message be sent to Oleg Deripaska, an aluminum magnate with whom Manafort ...",https://www.washingtonpost.com/politics/manafort-offered-to-give-russian-billionaire-private-briefings-on-2016-campaign/2017/09/20/399bba1a-9d48-11e7-8ea1-ed975285475e_story.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
227027c4704f4a488f4a2a5a115f4aa9,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,nytimes.com,2017-06-23,F.B.I. Investigating Deals Involving Paul Manafort and Son- ...,"Manafort would put money into. Mr. Manafort was more than a passive investor ... Deripaska, a Russian oligarch with whom Mr. Manafort partnered in ...",https://www.nytimes.com/2017/06/23/us/politics/paul-manafort-jeffrey-yohai.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
fa07e53751eee9088317b9014d196780,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-09-20,The most intriguing new Paul Manafort-Russia email,The other part of The Post's report — Manafort's offer of a briefing with Russian billionaire Oleg Deripaska — is perhaps a little bit easier to explain away; ...,https://www.washingtonpost.com/news/the-fix/wp/2017/09/20/paul-manaforts-ominous-email-to-an-aide-how-do-we-use-this-to-get-whole/,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
7c6e4a1993929b8a2acedf6e31d3b8c6,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-06-09,Trump's lawyer in Russia probe has clients with Kremlin ties,"Deripaska has said congressional investigators have contacted his attorneys seeking information about his business dealings with Paul Manafort, a Trump campaign ...",https://www.washingtonpost.com/investigations/trumps-lawyer-in-russia-probe-has-clients-with-kremlin-ties/2017/06/09/5dba9518-4d4a-11e7-a186-60c031eab644_story.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
237136ba61e784c339d413ae0aa05734,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-11-29,The Russian billionaire next door: Putin ally is tied to one of ...,"In 2014, Deripaska filed suit in the Cayman Islands, alleging that Manafort had disappeared after taking nearly $19 million intended for investments and failing ...",https://www.washingtonpost.com/politics/the-russian-tycoon-next-door-putin-ally-is-tied-to-one-of-dcs-swankiest-mansions/2017/11/28/15f913de-cef6-11e7-81bc-c55a220c8cbe_story.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
806e0d34ee4b2b589f0bc231b8ac7e94,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-11-05,At least nine people in Trump's orbit had contact with ...,"Over email, Manafort asked Kilimnik to pass a message to Deripaska, offering “private briefings” about Trump's campaign. Manafort's spokesman has said the ...",https://www.washingtonpost.com/politics/at-least-nine-people-in-trumps-orbit-had-contact-with-russians-during-campaign-and-transition/2017/11/05/07c9993c-bf4c-11e7-959c-fe2b598d8c00_story.html,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
38f11c8f9c95c8b3784f24ffbcd9b943,PHASE_1_RUSSIA,Financial_Leverage,"""Manafort"" debt ""Deripaska""",Mainstream_US,washingtonpost.com,2017-11-13,All the known times the Trump campaign met with Russians,July 7: Manafort offers to give briefings on the presidential race to Russian oligarch Oleg Deripaska. “If [Deripaska] needs private briefings we can ...,https://www.washingtonpost.com/news/fact-checker/wp/2017/11/13/all-of-the-known-times-the-trump-campaign-met-with-russians/,"""Manafort"" debt ""Deripaska"" site:nytimes.com OR site:cnn.com OR site:wsj.com OR site:washingtonpost.com after:2015-01-01 before:2017-12-31"
